"id","Bud.Cluster","Flower","Fruit","institutionCode","specificEpithet","recordedBy","eventDate","year","month","day","verbatimEventDate","county","locality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters"
1368030,4,13,21,"DAV","sativus","E. W. Lathrop","3/30/66",1966,3,30,"30-Mar-66","Riverside","Riverside County: Main Divide Truck. Trail between El Carriso and Santiago Peak, Cleveland National Forest.",33.71,"-117.5194444","WGS84",10000
468982,0,0,4,"SD","sativus","Frank F. Gander","12/22/37",1937,12,22,"12/22/37","San Diego","1 mile north of Salt Works, National City.",32.61615,"-117.1001","WGS84",402
469135,1,4,21,"SD","raphanistrum","Jon P. Rebman","5/31/11",2011,5,31,"5/31/11","San Diego","San Miguel Ranch: East of Bonita and south of the Sweetwater Reservoir; south of the hill called Gobblers Nob, east of Highway 125 and just north of Proctor Valley Road",32.66451,"-116.9877","WGS84",3999
1793219,1,2,9,"HSC","raphanistrum","Mark Flippo","4/26/78",1978,4,26,"26-Apr-78","Humboldt","McKinleyville, Bella Vista Rd.",40.91944929,"-124.0922906","WGS84 ",969
1655769,1,8,19,"UCR","sativus","Jon P. Rebman","5/30/12",2012,5,30,"5/30/12","San Diego","Camp Pendleton: Training Area Echo; west of Santa Margarita Peak, east of Case Springs Road, around Case Springs Lake. Square: B4",33.44969,"-117.42031","WGS84",3999
2197161,0,1,2,"DAV","sativus","Nellie Coffey","4/3/31",1931,4,3,"3-Apr-31","Solano","Vallejo.",38.09821761,"-122.2549335","WGS84 ",4001
3212192,1,6,8,"UCJEPS","sativus","H. M. Hall","4/1/02",1902,4,1,"Apr-02","Riverside","vicinity of Riverside; Southern California",33.750022,"-117.300864","WGS84",10000
291609,3,16,17,"UCSB","sativus","Kelly P. Steele","9/2/81",1981,9,2,"9/2/81","Santa Barbara","More Mesa; along the Pacific Ocean, south of Atascadero Creek, adjacent to and west of Hope Ranch Park, ca. 3 km. southeast of Goleta; southeastern arm of Central Basin (Area 3a)",34.422,"-119.795","WGS84",1500
3563575,4,13,32,"UCJEPS","sativus","Gordon H. True, Jr.","3/18/35",1935,3,18,"Mar 18 1935","Riverside","Pigeon Pass",33.980016,"-117.280866","WGS84",6000
3792159,4,14,6,"FSC","raphanistrum","Chas. H. Quibell","3/17/53",1953,3,17,"17-Mar-53","Fresno","Fields along Hiway 41 just s. of pt. where rd. starts downgrade to San Joaquin R.",36.87135,"-119.77546","WGS84",10000
3792170,0,9,41,"FSC","raphanistrum","Bob Round","3/28/74",1974,3,28,"28-Mar-74","Fresno","Plant Community at Cedar and Herndon Avenue",36.83739,"-119.75426","WGS84",300
304538,1,3,10,"UCSB","raphanistrum","Pruss, N.","2/8/83",1983,2,8,"2/8/83","Santa Barbara","NW corner of Hollister and Storke Road, Goleta",34.43007,"-119.8697","WGS84",200
1547140,2,7,6,"UCR","sativus","George K. Helmkamp","7/31/03",2003,7,31,"7/31/03","San Luis Obispo","west edge of Nipomo Hill at junction of Cienaga Rd and Valley View Road",35.09833,"-120.57667","WGS84",3999
3792181,4,13,2,"FSC","sativus","Ray C. Reinhard","4/17/57",1957,4,17,"17-Apr-57","Fresno","Ca 2 miles east of Centerville in river bottom between Kings Canyon Road and Trimmer Road, a meadow 20 yards east of Rio Vista Ave.",36.73912,"-119.46995","WGS84",900
2286564,5,18,17,"CAS","sativus","Dudley, W. R.","1897-05-24",1897,5,24,"May 24, 1897.","Santa Clara County","Santa Cruz Peninsula. Near Lake Lagunita, Stanford University.",37.42241,"-122.17629","WGS84",750
4567198,5,9,7,"SFSU","sativus","S.L. Billeb","3/13/60",1960,3,13,"13-Mar-60","San Francisco","near Handball courts at east end of Cox Stadium, San Francisco State College Campus, San Francisco",37.722859,"-122.484542","WGS84",301
5084121,0,1,18,"RSA","raphanistrum","Paul H. Wood","4/20/41",1941,4,20,"20-Apr-41","Los Angeles","Whittier.",33.97499,"-118.03605","WGS84",6500
2288164,0,1,1,"CAS","raphanistrum","Smith, L. S.","3/31/26",1926,3,31,"31-Mar-26","Nevada County","Tahoe Forest. Near Central House, top of ridge.",39.325833,"-120.880278","WGS84",5000
2386302,2,13,14,"CAS","sativus","Wolf, Carl B.","7/12/27",1927,7,12,"12-Jul-27","San Francisco County","San Francisco. Back of ""The Beach"".",37.75716,"-122.50732","WGS84",3000
2439512,1,3,0,"CAS","sativus","Ahart, Lowell","3/24/73",1973,3,24,"24-Mar-73","Butte County","Peter Ahart Ranch, Honcut.",39.33955,"-121.5218","WGS84",2000
2772139,7,11,9,"CAS","sativus","Griffith, Gerald","4/10/37",1937,4,10,"10-Apr-37","Kern County","Bakersfield - City Lot, San Joaquin Valley watershed",35.37042,"-119.01736","WGS84",6000
5569855,8,15,6,"CAS","sativus","Allen, Robert C.","4/23/66",1966,4,23,"4/23/66","San Mateo County","Highway 1, Half Moon Bay",37.46362,"-122.42975","WGS84",4000
148536,1,12,61,"SBBG","raphanistrum","Henry M. Pollard","5/25/67",1967,5,25,"5/25/67","Ventura","W of Ventura River estuary",34.276,"-119.308","NAD83",750
2328808,2,6,20,"CAS","sativus","Randall, Alice D.","3/28/10",1910,3,28,"Mch. 28, 1910","Monterey County","Monterey Peninsula. Carmel-By-The-Sea.",36.55431,"-121.91422","WGS84",3000
202455,0,1,11,"OBI","sativus","Betty Sheehan","10/11/57",1957,10,11,"11-Oct-57","San Luis Obispo","Science Bldg. Cal Poly Campus",35.3007,"-120.66164","WGS84",487
202476,2,11,1,"OBI","sativus","Laura Wells","2/1/70",1970,2,1,"1-Feb-70","San Mateo","Half Moon Bay about 14 mi W of San Mateo",37.46362,"-122.42975","WGS84",4000
5569674,4,10,6,"CAS","sativus","Neil, Garry A.","4/22/67",1967,4,22,"22-Apr-67","Alameda County","Lake Chabot",37.72569,"-122.11042","WGS84",2000
215180,1,5,9,"OBI","sativus","Monika Richardson","7/12/17",2017,7,12,"7/12/17","Santa Cruz","Growing off of Swanton Road",37.059761,"-122.225633","WGS84",3999
2393898,0,6,22,"CAS","sativus","Wetzel, Cherie L.","7/19/67",1967,7,19,"19-Jul-67","Alameda County","Niles Canyon and vicinity. Between Old Niles Canyon Road and Alameda Creek.",37.59701,"-121.93344","WGS84",4500
202493,2,1,0,"OBI","sativus","Sharon Jochums","2/17/74",1974,2,17,"17-Feb-74","San Luis Obispo","W of hwy 1 just S of Arroyo de la Cruz",35.70715,"-121.306318","WGS84",200
238791,1,12,0,"UCSC","sativus","D. Styer, J. Styer","5/12/15",2015,5,12,"5/12/15","Monterey","Ft. Ord National Monument (Region K6, Eucalyptus Road)",36.6294,"-121.7277","WGS84",1420
202485,2,2,12,"OBI","sativus","Mike Wemp","3/29/72",1972,3,29,"29-Mar-72","San Luis Obispo","1/4 mi NW of Montana de Oro State Park campground",35.27698,"-120.88632","WGS84",87
304546,0,1,34,"UCSB","sativus","P. Welton","7/28/83",1983,7,28,"28 July, 1983","Santa Barbara","20 m. south of Carneros Dam, Goleta; Lake Los Carneros County Park.",34.434282,"-119.85365","WGS84",1500
304572,1,9,27,"UCSB","sativus","Stoppel, Gordon","4/14/58",1958,4,14,"4/14/58","Santa Barbara","Near Goleta Campus beach, Goleta",34.41448,"-119.84196","WGS84",2000
304549,0,0,25,"UCSB","sativus","Wayne R. Ferren","5/12/80",1980,5,12,"5/12/80","Santa Barbara","W of Apple Rd., Carpinteria Salt Marsh",34.4032,"-119.5343","NAD83",300
304575,4,17,31,"UCSB","sativus","Hurd, Richard","2/27/56",1956,2,27,"2/27/56","Santa Barbara","Refugio Canyon",34.505401,"-120.065555","WGS84",5000
304607,2,9,16,"UCSB","sativus","Oberholtzer, M.","1/22/80",1980,1,22,"1/22/80","Santa Barbara","SE corner of Embarcadero del Mar and Segovia Road, Goleta",34.41417,"-119.85663","WGS84",50
375720,2,19,3,"SDSU","sativus","Hunsaker, D.","4/10/62",1962,4,10,"4/10/62","Riverside","Three miles SSW from Temecula.",33.453031,"-117.173858","WGS84",3000
468961,7,6,2,"SD","sativus","unknown","1884-02-26",1884,2,26,"02/26/1884","San Diego","San Diego",32.731,"-117.1371","WGS84",2500
304569,2,19,17,"UCSB","sativus","Richard Wilson","5/4/58",1958,5,4,"5/4/58","Santa Barbara","2 miles W of Lompoc on Road to Surr",34.64508,"-120.52339","WGS84",4000
468994,2,3,7,"SD","sativus","Edith A. Purer","8/25/32",1932,8,25,"8/25/32","Santa Barbara","Northwest Guadalupe.",34.96896,"-120.58147","WGS84",4001
469053,1,4,15,"SD","sativus","Jon P. Rebman","7/25/03",2003,7,25,"7/25/03","San Diego","Rancho Jamul Ecological Reserve: west of Hwy. 94, south of Jamul & north of Otay Lakes Road; along Jamul Creek near old cement kiln",32.66472,"-116.86694","WGS84",3999
469021,2,15,11,"SD","raphanistrum","Skip Stone","4/1/52",1952,4,1,"4/1/52","San Diego","National City",32.67811,"-117.09919","WGS84",3218
469106,5,25,20,"SD","sativus","Jon P. Rebman","6/19/08",2008,6,19,"6/19/08","San Diego","Camp Pendleton Marine Corps Base: near North River Road, east of Stuart Mesa Road in the southwestern portion of the base; in the Santa Margarita River bed along the water pipe that crosses the river",33.27553,"-117.37658","WGS84",3999
631758,0,7,10,"IRVC","raphanistrum","Jim Pierce (HS)","4/16/65",1965,4,16,"16-Apr-65","Orange","Corona Del Mar",33.596934,"-117.86985","WGS84",3028
610289,4,11,4,"SFV","sativus","C. Gasser","3/9/56",1956,3,9,"9-Mar-56","Los Angeles","Santa Monica Mountains; Highway 101 by Malibu Canyon Road cutoff.",34.13195,"-118.70812","WGS84 ",3500
304566,3,1,0,"UCSB","sativus","Mrs. R. F. Bingham","1882-07-00",1882,7,0,"1882-07","Santa Barbara","Montecito",34.4367,"-119.6311","NAD83",5700
631770,0,5,0,"IRVC","sativus","HS","3/15/65",1965,3,15,"15-Mar-65","Orange","Costa Mesa, Dover Road",33.625595,"-117.903673","WGS84",979
632655,0,0,6,"IRVC","sativus","A. B. McGee","5/1/81",1981,5,1,"1-May-81","Orange","U. C. Irvine: Ecological Preserve, NE area, E of trailer Park.",33.637961,"-117.845897","WGS84",650
375693,0,3,8,"SDSU","sativus","Thompson, D.","7/6/64",1964,7,6,"7/6/64","San Diego","Aldine Drive Canyon.",32.76101,"-117.09635","WGS84",402
631780,0,8,20,"IRVC","sativus","Ray Nesheim (HS)","4/10/65",1965,4,10,"10-Apr-65","Orange","Bayside Drive near Balboa Island.",33.608359,"-117.891647","WGS84",941
684420,1,12,0,"RSA","sativus","Sarah J. De Groot","7/5/16",2016,7,5,"7/5/16","Ventura","The Nature Conservancy (TNC). The Nature Conservancy Banman - Prairie Pacific property; south of Santa Paula and Highway 126. Along the Santa Clara River between South Mountain and Sulphur Mountain, just downstream/west of South Mountain Road.; Santa Paula 7.5'",34.34803,"-119.05617","NAD83",3999
632993,0,14,26,"IRVC","raphanistrum","J.W. Johnson","2/17/75",1975,2,17,"17-Feb-75","Orange","Santiago Canyon Road between Silverado and Modjeska Canyons, Santa Ana Mts.",33.723186,"-117.647695","WGS84",3500
1087030,2,4,9,"RSA","sativus","Virginia Guthrie","5/7/83",1983,5,7,"7-May-83","San Diego","In University City on the southwest corner of Genesee Ave. and La Jolla Village Dr.",32.8723,"-117.2144","WGS84",162
1294393,2,8,11,"CSUSB","sativus","Mike Simmons","5/15/70",1970,5,15,"15-May-70","San Diego","Lorraine Ave., Leucadia",33.06718,"-117.30607","WGS84",1610
1311269,0,1,3,"DAV","sativus","Lloyd P. Tevis","8/1/02",1902,8,1,"Aug-02","El Dorado","El Dorado County: Tallac. Lake Tahoe. (elevation estimated by label-maker)",38.936111,"-120.051944","WGS84",439
1305691,0,2,38,"DAV","sativus","Beecher Crampton","7/12/73",1973,7,12,"12-Jul-73","Solano","Solano County, marsh north of Suisun Bay, 2 1/2 miles north of Teal.",38.1679,"-122.15541","WGS84",3500
1310405,0,0,47,"DAV","sativus","Beecher Crampton","4/8/64",1964,4,8,"8-Apr-64","Yolo","3 miles west of Winters Hwy. 128.",38.494871,"-122.026567","WGS84",2500
1312145,1,5,0,"DAV","raphanistrum","Lloyd P. Tevis","7/1/02",1902,7,1,"Jul-02","El Dorado","El Dorado County: Tallac. Lake Tahoe. (elevation estimated by label-maker)",38.936111,"-120.051944","WGS84",439
1368025,3,1,0,"DAV","sativus","D. R. Kaplan","2/26/61",1961,2,26,"26-Feb-61","Santa Cruz","Santa Cruz County: just east of State Highway 156, 6.4 miles south and east of Watsonville.",36.86019,"-121.574386","WGS84",3000
1368049,0,15,15,"DAV","sativus","K. Twitchell","5/4/96",1996,5,4,"4-May-96","Yolo","Yolo County: Davis, UC Davis Experimental Garden.",38.55,"-121.752778","WGS84",3999
1480899,1,6,0,"UCR","sativus","Mitch Provance","4/4/99",1999,4,4,"4/4/99","San Bernardino","Colton, S Pellisier Rd., near the corner of W Center St. and Orange St.; W La Loma Hills",34.02033,"-117.3485","WGS84",3999
1483561,1,6,15,"UCR","sativus","Mitch Provance","7/4/98",1998,7,4,"7/4/98","San Bernardino","Colton, South Old Pellisier Rd., near the corner of W Center St. and Orange St.; W La Loma Hills",34.02033,"-117.3485","WGS84",3999
1544580,0,18,31,"UCR","raphanistrum","Mark A. Elvin","5/3/03",2003,5,3,"5/3/03","San Diego","SE side of Otay Mtn., Marron Valley, along Cottonwood Creek c. 1 km north of the Mexican border",32.57278,"-116.75778","WGS84",3999
1459132,1,9,30,"UCR","sativus","A.C. Sanders","4/9/93",1993,4,9,"4/9/93","San Bernardino","Between Oak Glen and Cherry Valley, at intersection of Oak Glen Road with Wildwood Canyon Road",34.0075,"-116.965","WGS84",3999
1601338,4,18,27,"UCR","sativus","George K. Helmkamp","10/23/06",2006,10,23,"10/23/06","Amador","along Calif. Hwy 16, 0.2 mile east of Waits Station, southwest of Plymouth",38.44972,"-120.89361","WGS84",3999
1368028,3,2,2,"DAV","sativus","P. B. Kennedy","3/15/14",1914,3,15,"15-Mar-14","Alameda","Alameda County: west Berkeley.",37.86969,"-122.28876","WGS84",3000
1615905,2,10,1,"UCR","sativus","George K. Helmkamp","3/22/08",2008,3,22,"3/22/08","Calaveras","along CA-26, 3.7 miles southwest of Valley Springs at Lime Creek Road",38.15528,"-120.85306","WGS84",3999
1623574,3,8,0,"UCR","sativus","George K. Helmkamp","3/11/09",2009,3,11,"3/11/09","Colusa","along CA-20, 9.7 miles southwest of Williams, on the north side of Salt Creek",39.10444,"-122.32722","WGS84",3999
1667093,0,0,27,"UCR","sativus","Jon P. Rebman","6/19/12",2012,6,19,"6/19/12","San Diego","Daley Ranch, northeast of Escondido, west of County Hwy S6, and north of Dixon Lake; along creek Crossing Trail in canyon of Jack Creek. Square: H11",33.169,"-117.04769","WGS84",3999
1767307,0,5,14,"HSC","sativus","Steve Dorei","10/26/70",1970,10,26,"26-Oct-70","Humboldt","Arcata, South G st.",40.860072,"-124.08919","WGS84",193
1368040,0,7,9,"DAV","sativus","Clifton F. Smith","1/9/44",1944,1,9,"9-Jan-44","Santa Barbara","Santa Barbara County: west of Botanic Garden in Santa Barbara.",34.454,"-119.711","NAD83",1000
1777873,0,4,0,"HSC","sativus","J.P. Smith","4/21/73",1973,4,21,"21-Apr-73","Trinity","Along Coffee Creek Rd. leading to Coffee Creek Ranch.",41.084616,"-122.742399","WGS84",2500
1829694,1,12,12,"HSC","sativus","F. Bowcutt","5/20/89",1989,5,20,"20-May-89","Mendocino","2.5 mi. SE of Needle Rock, 4 mi. SSE of Four Corners, near Bear Harbor Beach off Lost Coast Trail",39.914155,"-123.935684","WGS84 ",969
2034914,2,2,0,"CHSC","raphanistrum","M. S. Taylor","3/25/75",1975,3,25,"3/25/75","Butte","In fields between 11th and 12th Ave, at end of Citrus Ave, Chico.",39.748056,"-121.8575","NAD83",402
1619773,3,19,2,"UCR","sativus","George K. Helmkamp","10/14/08",2008,10,14,"10/14/08","Colusa","along River Road (generally following the Sacramento River), 8.4 miles north of Colusa",39.31944,"-122.01528","WGS84",3999
2049536,3,6,1,"CHSC","raphanistrum","R. E. Preston","11/13/82",1982,11,13,"11/13/82","Butte","At roadside, n side of Hwy 70 at Wicks Corner, ca. 5 1/2 mi nw of Oroville. T20N R03E S15 S border USGS Quadrangle: Oroville 1:24,000",39.581944,"-121.621667","NAD83",402
2046466,3,14,62,"CHSC","raphanistrum","R. E. Preston","1/1/82",1982,1,1,"1/1/82","Tehama","On e side of Hwy 99 across from Halle Rd, ca. 1 mi n of Butte/Tehama Co. line. Roadside. T24N R01W S33 USGS Quadrangle: Richardson Springs 1:24,000",39.892222,"-121.984444","NAD83",402
2061578,1,5,14,"CHSC","sativus","S. Westerberg","3/9/38",1938,3,9,"3/9/38","San Bernardino","Highland.",34.128611,"-117.208889","NAD83",8047
2062093,3,4,0,"CHSC","raphanistrum","M. Bailey","3/8/91",1991,3,8,"3/8/91","Butte","North side of Butte Campus Drive, across from the Fire Training facility, Butte College Campus. Roadside.",39.642778,"-121.65","NAD83",805
2051858,0,0,65,"CHSC","raphanistrum","Pauleen Broyles","6/18/82",1982,6,18,"6/18/82","Tehama","The Nature Conservancy Vina Plains Preserve. Near barn in s pasture. T24N R01W S28 SW1/4",39.9025,"-121.988056","NAD83",402
2085275,1,6,1,"CHSC","sativus","Colby J. Boggs","4/5/97",1997,4,5,"4/5/97","Mendocino","Found in Manchester State Park campground. T13N R17W S USGS Quadrangle: Point Arena 1:24,000",38.981944,"-123.699722","NAD83",805
2262517,0,13,35,"LOB","sativus","Martha Hawkins","5/10/52",1952,5,10,"10-May-52","Orange","Costa Mesa",33.641132,"-117.918669","WGS84",5882
1666111,8,23,12,"UCR","sativus","George K. Helmkamp","3/1/13",2013,3,1,"3/1/13","Sutter","Sacramento River levee along Cranmore Road, 0.7 mile south of Seymour Road via an unnamed road, 2 miles due west of Robbins",38.87167,"-121.74694","WGS84",3999
3183749,0,11,54,"UCJEPS","raphanistrum","C. M. Belshaw","4/6/36",1936,4,6,"Apr 6 1936","Mariposa","1.8 mi nnw of Santa Cruz",37.467719,"-120.238504","WGS84",925
2866841,1,12,24,"MACF","sativus","J. Fraser","5/8/70",1970,5,8,"5/8/70","Mendocino","27 miles S from Big Sur on highway 1 at Nacimiento Rd.",35.988616,"-121.493819","WGS84",352
2866761,1,10,4,"MACF","sativus","Ira L. Wiggins","2/12/66",1966,2,12,"2/12/66","Orange","N. side of La Palma Ave. near Harbor Blvd.",33.84972,"-117.9242","WGS84",300
3258364,1,7,25,"UCJEPS","sativus","E. R. Drew","1882-04-01",1882,4,1,"April 1882","Sacramento","Elk Grove",38.399887,"-121.361025","WGS84",4001
3464512,1,5,17,"UCJEPS","sativus","Jos. Burtt Davy","12/28/00",1900,12,28,"Dec 28 1900","Alameda","Berkeley, College Avenue Berkeley; , College Avenue",37.852821,"-122.252541","WGS84",1857
3737681,0,2,1,"SCFS","sativus","B. A. Trowbridge","7/24/70",1970,7,24,"7/24/70","Nevada","Across Sagehen Creek from Tool Shed, University of California Sagehen Creek Wildlife Field Station.",39.430993,"-120.240807","WGS84",69
3584664,0,13,16,"BSCA","sativus","Hendrickson, Larry","2/17/05",2005,2,17,"17-Feb-05","San Diego County","Anza-Borrego Desert State Park. South side of San Felipe Wash about 0.1 mi west of the intersection with County Hwy S-3 near emergency call box #78-671.",33.1349,"-116.3841","WGS84",3999
3479651,1,1,15,"UCJEPS","sativus","S. B. Parish","8/1/17",1917,8,1,"Aug 1 1917","Monterey","Pacific Grove; Monterey Peninsula, Pacific Grove",36.618388,"-121.929596","WGS84",4841
3792166,2,7,33,"FSC","raphanistrum","Sharron Timmings","3/26/65",1965,3,26,"26-Mar-65","Fresno","found along the roadside off of fruit between Dakota and Ashlan",36.79006,"-119.81756","WGS84",450
3753225,1,13,7,"SDSU","sativus","Jon Rebman","1/21/00",2000,1,21,"21-Jan-00","San Diego","San Diego Urban Canyons, North Park/Golden Hill: Cedar Ridge Park area, canyon area along I-15",32.7225,"-117.1175","WGS84",80
3792196,4,16,14,"FSC","sativus","Chas. H. Quibell","8/13/29",1929,8,13,"13-Aug-29","Monterey","Pacific Grove. This was found on plowed ground at the High School athletic field.",36.61746,"-121.92296","WGS84",2000
3792190,3,11,5,"FSC","sativus","Stephanie Yakura","4/21/80",1980,4,21,"21-Apr-80","Tulare","Collected on the northeast corner of Caldwell and County Center, Visalia",36.29884,"-119.32203","WGS84",100
3801194,3,11,24,"CSLA","sativus","Peter J. Mehringer Jr.","2/21/58",1958,2,21,"21-Feb-58","Los Angeles","Griffith Park",34.131,"-118.3088","WGS84",3200
3801195,0,10,29,"CSLA","sativus","William Holbrook","5/14/67",1967,5,14,"14-May-67","Los Angeles","Venice at the corner of Trask and Century Blvds., along the edge of the L.A. Airport in sand dunes",33.9507,"-118.4433","WGS84",400
