image,Bud Cluster,Flower,Fruit,catalogNumber,gbifID,institutionCode,recordedBy,eventDate,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,stateProvince,county,municipality,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,scientificName,specificEpithet
1999166727,0,2,9,1999166727,1999166727,NEBC,E. W. Hervey,NA,NA,NA,NA,NA,NA,NA,Massachusetts,Bristol County,New Bedford,New Bedford,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
2418002574,0,2,13,2418002574,2418002574,CHSC,Richard R. Halse,2000-07-02,184,184,2000,7,2,07/02/2000,Oregon,Linn,NA,"Along the Willamette River behind the O.S.U. Salmon Disease Lab, 34347 N.E. Electric Road, just E of Corvallis. T11S R05W S36",44.57026,-123.24081,805.0,Raphanus raphanistrum L.,raphanistrum
4910082168,1,8,31,4910082168,4910082168,SAT,M. Graham,1986-03-10,69,69,1986,3,10,"Mar. 10, 1986",California,San Diego,NA,"Escondido, along Canyon Rd, about 10 ft W intersection with Brook Canyon Rd",33.089575,-117.052372,NA,Raphanus sativus L.,sativus
4075454248,1,1,10,4075454248,4075454248,DOV,W.M. Canby,1897-06-18,169,169,1897,6,18,NA,Delaware,New Castle,NA,Milltown,39.73079,-75.66604,1000,Raphanus sativus L.,sativus
5067996454,0,10,3,5067996454,5067996454,University of New Hampshire,J. C. Armstrong,1964-06-02,154,154,1964,6,2,NA,New York,NA,NA,junction Cross Island Parkway and 25A,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
SML_5068043242,4,10,27,SML_5068043242,5068043242,Keene State University,David Edward Boufford,1972-08-19,232,232,1972,8,19,NA,Rhode Island,Newport,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
2234332105,4,11,6,2234332105,2234332105,NCU,NA,NA,NA,NA,NA,NA,NA,NA,Georgia,Oconee,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
5068491421,2,2,1,5068491421,5068491421,USCS,NA,NA,NA,NA,NA,NA,NA,NA,South Carolina,Spartanburg,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
3341236048,0,0,6,3341236048,3341236048,SIM,William T. Davis; A. A. Tyler,1898-07-04,185,185,1898,7,4,NA,Pennsylvania,Northampton,NA,Easton,40.688432,-75.220732,6646.0,Raphanus sativus L.,sativus
3406827743,0,16,31,3406827743,3406827743,LA,Louis C. Wheeler,1932-01-08,8,8,1932,1,8,NA,NA,NA,NA,NA,34.11558,-117.88912,NA,Raphanus sativus L.,sativus
3865104316,0,5,15,3865104316,3865104316,PH,Alexander MacElwee,1899-06-12,163,163,1899,6,12,NA,Pennsylvania,Philadelphia,NA,"at Tinicum, on the Delaware River",NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
3865368300,0,4,9,3865368300,3865368300,PH,Walter M. Benner,1937-05-31,151,151,1937,5,31,NA,Pennsylvania,Philadelphia,NA,near Burholme,40.061222,-75.083229,1382.0,Raphanus raphanistrum L.,raphanistrum
2234330991,3,8,35,2234330991,2234330991,NCU,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,Mobile,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
5103904642,3,2,3,5103904642,5103904642,WILLI,"Soltis, Douglas",1974-06-15,166,166,1974,6,15,NA,Virginia,New Kent,NA,"Edge of Rt 601, 0.5 mi S of Holly Forks, PO Barhamsville",37.468201,-76.783572,3072.0,Raphanus raphanistrum L.,raphanistrum
5103880435,2,11,15,5103880435,5103880435,WILLI,"Weldy, Troy R; Showacre, Jane",1994-08-15,227,227,1994,8,15,NA,Virginia,Lancaster,NA,"above beach-line along west tip at mouth of the Corrotoman River, northeast of Towles Point.",37.663682,-76.490259,1511.0,Raphanus raphanistrum L.,raphanistrum
2430325132,2,6,6,2430325132,2430325132,RSA,"Sara L. Crockett; Steven A. Junak, Gery Allan, Mark Hoefs",1996-10-31,305,305,1996,10,31,10/31/96,California,Los Angeles,NA,Santa Catalina Island; Lower Cape canyon.,33.358333,-118.420833,NA,Raphanus raphanistrum L.,raphanistrum
3710044656,5,7,22,3710044656,3710044656,GA,NA,NA,NA,NA,NA,NA,NA,NA,Oregon,Lane County,NA,"Lane County, OR",NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
CDA-0047966,1,16,34,CDA-0047966,3059664326,CDA,G. K. Walden,2017-06-09,160,160,2017,6,9,6/9/2017,California,Yolo,NA,"West Sacramento, west of Mill street, south of S. River Rd.",38.57,-121.52,NA,Raphanus raphanistrum L.,raphanistrum
1998606348,1,3,7,1998606348,1998606348,NEBC,C. E. Perkins,1878-09-20,263,263,1878,9,20,"Sept. 20, 1878",Massachusetts,Suffolk County,Boston,S. [South] Boston,36.71926,-78.8993,3964m,Raphanus raphanistrum L.,raphanistrum
2430559176,1,5,9,2430559176,2430559176,RSA,Fred M. Roberts,2008-04-02,93,93,2008,4,2,2 Apr 2008,California,Orange,NA,"Dana Point: Dana Point Headlands, CNLM Preserve near NE Gate, 0.5km W Marine Institute (Dana Point Harbor).; Dana Point",33.461389,-117.711944,9.0,Raphanus sativus L.,sativus
3710068555,8,6,13,3710068555,3710068555,GA,"Smith, Rachel",2019-03-15,74,74,2019,3,15,NA,Georgia,Clayton County,NA,Lovejoy,33.450164,-84.36566,NA,Raphanus raphanistrum L.,raphanistrum
2989939290,0,1,11,2989939290,2989939290,RSA,Kristina Sargeant,1992-04-19,110,110,1992,4,19,19 April 92,California,Los Angeles,NA,"Flat lot on North side of Tetley Street, approx. 200 feet east of intersection of Hacienda Blvd. and Tetley St. in Hacienda Heights.",NA,NA,NA,Raphanus sativus L.,sativus
2234331400,0,9,38,2234331400,2234331400,NCU,NA,NA,NA,NA,NA,NA,NA,NA,North Carolina,Johnston,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
5067912783,0,0,1,5067912783,5067912783,University of New Hampshire,M. J. McDonnell,1978-07-26,207,207,1978,7,26,NA,Massachusetts,Essex,NA,Plum Island,42.761634,-70.798988,7131.0,Raphanus raphanistrum L.,raphanistrum
5067925809,1,2,5,5067925809,5067925809,University of New Hampshire,B. G. S.,1950-07,NA,NA,1950,7,NA,NA,New Hampshire,Strafford,Durham,"Agronomy Department, Farm Weed and Crop Plants",43.11743,-70.91946,6339.0,Raphanus raphanistrum L.,raphanistrum
SML_1998929009,2,3,7,SML_1998929009,1998929009,GH,[data not captured],NA,NA,NA,NA,NA,NA,NA,New Jersey,NA,NA,[data not captured],NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
5070880623,1,4,29,5070880623,5070880623,MARY,E. A. Higgins,1965-06-12,163,163,1965,6,12,6/12/65,Maryland,Worcester,NA,"Assateague Island, MD State Park",38.0891,-75.208833,40234.0,Raphanus raphanistrum L.,raphanistrum
3357380373,12,22,0,3357380373,3357380373,GMUF,Ted Bradley,1995-03-26,85,85,1995,3,26,26 Mar 1995,Virginia,Henrico,NA,"Jct. of Richmond Henrico Turnpike and Azalea Avenue, n. of Richmond",NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
CDA-0012316,0,11,4,CDA-0012316,3059684855,CDA,G.F. Hrusa; S. A. Wagner,1992-04-19,110,110,1992,4,19,4/19/1992,California,Kern,NA,Disturbed right-of-way SR 99 between Bakersfield and Delano. San Joaquin Valley.,35.73,-119.22,NA,Raphanus raphanistrum L.,raphanistrum
3744713760,1,12,13,3744713760,3744713760,UNA,D. D. Spaulding,2005-03-27,86,86,2005,3,27,3/27/2005,Alabama,Cherokee,NA,field off CR- 71 near Plano west of Centre. Coosa Valley district of the Ridge & Valley province.,34.11,-85.73,NA,Raphanus raphanistrum L.,raphanistrum
3897880617,3,5,3,3897880617,3897880617,CHRB,NA,NA,NA,NA,NA,NA,NA,NA,New Jersey,Burlington,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
2573088856,2,3,13,2573088856,2573088856,VT,NA,NA,NA,NA,NA,NA,NA,NA,Vermont,NA,Charlotte,NA,44.30894,-73.23596,8247.0,Raphanus sativus L.,sativus
CDA-0016210,0,4,16,CDA-0016210,3059684837,CDA,G.F. Hrusa,1999-04-25,115,115,1999,4,25,4/25/1999,California,Yolo,NA,I-5 exit to River Rd. ± 3-4 mi S of Woodland on W side. Sacramento Valley.,38.67,-121.64,NA,Raphanus sativus L.,sativus
2234331046,1,0,7,2234331046,2234331046,NCU,NA,NA,NA,NA,NA,NA,NA,NA,South Carolina,Barnwell,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
SML_1999221651,2,21,13,SML_1999221651,1999221651,GH,R. K. Godfrey,1938-03-27,86,86,1938,3,27,NA,North Carolina,Wake County,Raleigh,[no additional data],NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
2234330657,5,12,17,2234330657,2234330657,NCU,NA,NA,NA,NA,NA,NA,NA,NA,North Carolina,Lenoir,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
3855484356,9,5,16,3855484356,3855484356,UF,Harry E. Ahles,1958-10-29,302,302,1958,10,29,October 29 1958,North Carolina,NA,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
5068043255,3,13,27,5068043255,5068043255,Keene State University,David Edward Boufford,NA,NA,NA,NA,NA,NA,6/13/69,New Hampshire,Cheshire,Keene,NA,42.94934,-72.29987,7605.0,Raphanus raphanistrum L.,raphanistrum
2234330483,2,1,33,2234330483,2234330483,NCU,NA,NA,NA,NA,NA,NA,NA,NA,North Carolina,Mitchell,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
3744713808,0,6,1,3744713808,3744713808,UNA,Alvin R. Diamond,2003-03-20,79,79,2003,3,20,3/20/2003,Alabama,Pike,NA,Troy; along railroad tracks north of square; Troy quad,31.81,-85.97,NA,Raphanus raphanistrum L.,raphanistrum
3865108374,0,1,1,3865108374,3865108374,PH,none,1890-05-10,130,130,1890,5,10,May 10 1890,New Jersey,Burlington,NA,Bordentown,40.146221,-74.711826,1522.0,Raphanus raphanistrum L.,raphanistrum
2430434509,1,19,30,2430434509,2430434509,RSA,Nathan Moorhatch,1991-05-22,142,142,1991,5,22,22 May 1991,California,San Bernardino,NA,"San Manuel Indian Reservation, approximately 1.5 miles north of Highland Ave. on Victoria.",34.15622,-117.21906,402.0,Raphanus sativus L.,sativus
3865362259,1,9,19,3865362259,3865362259,PH,Bayard Long,1956-06-17,169,169,1956,6,17,NA,Pennsylvania,Bucks,NA,Ca 0.5 mi. N of Midway,40.139187,-74.886226,495.0,Raphanus raphanistrum L.,raphanistrum
4067794452,6,1,7,4067794452,4067794452,MCA,"R. L. Schaeffer, Jr.",1969-08-26,238,238,1969,8,26,NA,Pennsylvania,Carbon,NA,2 miles NE of Forest Inn,40.879472,-75.566145,5042.0,Raphanus raphanistrum L.,raphanistrum
5067941420,0,9,40,5067941420,5067941420,University of New Hampshire,L. J. Mehrhoff;,1975-07-05,186,186,1975,7,5,NA,Connecticut,Middlesex,Westbrook,NA,41.30277,-72.46451,6343.0,Raphanus raphanistrum L.,raphanistrum
1999066003,0,12,43,1999066003,1999066003,GH,C. E. Faxon,NA,NA,NA,NA,NA,NA,NA,Massachusetts,Suffolk County,Boston,Jamaica Plain,42.30741,-71.11344,2640,Raphanus raphanistrum L.,raphanistrum
2514966053,0,0,7,2514966053,2514966053,NA,Stone BC,1968-06-28,180,180,1968,6,28,NA,NA,NA,NA,"California. San Diego County; Opp. Collwood Park, Montezuma Ave., in a dry wash.",NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
3865109359,0,3,14,3865109359,3865109359,PH,Aubrey H. Smith,1864-06,NA,NA,1864,6,NA,NA,Pennsylvania,Delaware,NA,"Tinicum Island, Philadelphia",39.864077,-75.278138,3581.0,Raphanus raphanistrum L.,raphanistrum
3865096298,0,6,5,3865096298,3865096298,PH,David Berkheimer,1940-08-03,216,216,1940,8,3,NA,Pennsylvania,Bedford,NA,1 mi NE of Osterburg,40.17977,-78.506883,1020.0,Raphanus sativus L.,sativus
5072730532,5,12,23,5072730532,5072730532,PEMB,NA,NA,NA,NA,NA,NA,NA,NA,North Carolina,Scotland,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
5103889439,9,8,22,5103889439,5103889439,WILLI,"Blackman, Douglas E.",1977-05-19,139,139,1977,5,19,NA,New Jersey,Cape May,NA,1/2 mi. W of intersection with Bay Ave. Ocean City,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
5103889593,1,2,50,5103889593,5103889593,WILLI,"Vascott, Anna; Hall, W G",1982-05-27,147,147,1982,5,27,NA,Virginia,King and Queen,NA,"By dirt road off Rt. 605, 0.5 mi. S of Rt. 33 at Snow Hill.",37.53817,-76.749745,205.0,Raphanus raphanistrum L.,raphanistrum
3897882368,0,0,22,3897882368,3897882368,CHRB,NA,NA,NA,NA,NA,NA,NA,NA,New Jersey,Somerset,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
3091277542,4,9,2,3091277542,3091277542,ASC,C. Grue,1972-02-18,49,49,1972,2,18,NA,California,Santa Barbara,NA,"Storke campus, UCSB slough, between Los Carneros, El Colegio, and Storke Rds. 2 miles west of Goleta Post Office Isla Vista",34.412638,-119.848645,2482.0,Raphanus sativus L.,sativus
3820615030,1,4,12,3820615030,3820615030,OSU,Georgia S. Mason; Georgia Mason,1974-10-15,288,288,1974,10,15,NA,Oregon,Lane,NA,"Near Marist High School, Goodpasture Island Road, Eugene.",44.0522,-123.0856,9656.0,Raphanus raphanistrum L.,raphanistrum
3357380426,0,4,13,3357380426,3357380426,GMUF,"Ted Bradley, Gary Lam",1983-06-26,177,177,1983,6,26,26 Jun 1983,Virginia,Greene,NA,"Along fire road off U.S. 33, w. of Stanardsville, in the Shenandoah National Park.",NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
2859094617,1,11,10,2859094617,2859094617,CM,"Isaac, B.L.; Isaac, J.A.",1990-07-25,206,206,1990,7,25,25 Jul 1990,Pennsylvania,Lawrence,NA,ca 1 mi SE of New Bedford along Marr Road,41.087033,-80.491195,4807.0,Raphanus sativus L.,sativus
3970668672,1,0,34,3970668672,3970668672,VT,S.R. Hill,NA,NA,NA,NA,NA,NA,NA,Rhode Island,NA,Washington Co.,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
1998926105,1,6,21,1998926105,1998926105,GH,D. L. Dutton,1920-07-10,192,192,1920,7,10,"July 10, 1920",Vermont,Rutland County,Brandon,Brandon,NA,NA,NA,Raphanus sativus L.,sativus
2430546606,2,1,4,2430546606,2430546606,RSA,Timothy S. Ross; Annette Ross,1991-07-29,210,210,1991,7,29,29 July 1991,California,Los Angeles,NA,"Elephant Hill, N most point of the Puente Hills, W Pomona; San Dimas USGS 7.5’",NA,NA,NA,Raphanus sativus L.,sativus
3865377309,0,3,1,3865377309,3865377309,PH,"Robert L. Schaeffer, Jr.",1946-08-05,217,217,1946,8,5,NA,Pennsylvania,Northampton,NA,1 to 1.5 mi. SE of Redington,40.622781,-75.267699,1127.0,Raphanus sativus L.,sativus
CDA-0030836,0,8,67,CDA-0030836,3059684830,CDA,M. Beyers,2010-05-12,132,132,2010,5,12,5/12/2010,California,Yolo,NA,On strip of median that separates north and southbound I-505.,38.6,-121.95,NA,Raphanus sativus L.,sativus
3897880545,5,14,29,3897880545,3897880545,CHRB,NA,NA,NA,NA,NA,NA,NA,NA,California,Los Angeles,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
5103612993,1,3,29,5103612993,5103612993,UTEP,Collector(s): Louis C. Wheeler,1931-02-15,46,46,1931,2,15,15-Feb-31,California,Los Angeles County,NA,Pomona,34.05984,-117.763952,6554.0,Raphanus sativus L.,sativus
5067940421,4,7,12,5067940421,5067940421,University of New Hampshire,D. Dunlop,1974-07-14,195,195,1974,7,14,NA,Maine,York,Wells,Exit 5 off I-95 before Wells exit,43.32509,-70.62949,8062.0,Raphanus raphanistrum L.,raphanistrum
3897880729,1,0,5,3897880729,3897880729,CHRB,NA,NA,NA,NA,NA,NA,NA,NA,New Jersey,Middlesex,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
4075454272,0,0,12,4075454272,4075454272,DOV,W.M. Canby,1897-06-18,169,169,1897,6,18,NA,Delaware,New Castle,NA,"along New Spring Road, 1 mi W of Elsmere",39.73536,-75.62553,1200,Raphanus raphanistrum L.,raphanistrum
4101881489,0,1,13,4101881489,4101881489,BRIT,NA,NA,NA,NA,NA,NA,NA,NA,Louisiana,NA,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
2430530468,4,8,26,2430530468,2430530468,RSA,L. C. Wheeler,1967-05-13,133,133,1967,5,13,13 May 1967,California,Los Angeles,NA,San Gabriel Mountains; mesa between Little Dalton and Englewild canyons.,34.157899,-117.846251,1200.0,Raphanus sativus L.,sativus
3357379668,2,0,1,3357379668,3357379668,GMUF,"Ted Bradley, Hassan Kamel",1990-05-21,141,141,1990,5,21,21 May 1990,Virginia,Orange,NA,Near railroad in Barboursville along rte. 678,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
3969864035,0,1,27,3969864035,3969864035,BRIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
3865379340,3,7,1,3865379340,3865379340,PH,Harold W. Pretz,1952-06-14,166,166,1952,6,14,"Jun. 14, 1952",Pennsylvania,Lehigh,NA,2.5 mi. ENE of Hosensack,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
5068501414,0,11,33,5068501414,5068501414,USCS,NA,NA,NA,NA,NA,NA,NA,NA,South Carolina,Aiken,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
1998551301,0,3,0,1998551301,1998551301,NEBC,R. C. Bean,1947-06-07,158,158,1947,6,7,June 7 1947,Massachusetts,Middlesex County,Acton,Acton,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
3091277581,0,11,2,3091277581,3091277581,ASC,H. D. Hammond,2000-08-04,217,217,2000,8,4,NA,Oregon,Clatsop,NA,Hammond Basin. Small park just E of Ft. Stevens. Shore of Columbia River where it meets Pacific Ocean.,46.205781,-123.958139,500.0,Raphanus sativus L.,sativus
3820737976,4,10,10,3820737976,3820737976,OSU,Richard R. Halse,2008-10-27,301,301,2008,10,27,NA,Oregon,Benton,NA,ca. 9 miles south of Corvallis along Smith Loop Road ca. 0.5 miles north of its junction with Dorr Road.,44.46044,-123.23572,805.0,Raphanus sativus L.,sativus
3865362263,2,3,0,3865362263,3865362263,PH,Thomas C. Porter,1863-06-13,164,164,1863,6,13,NA,Pennsylvania,Chester,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
4436954095,1,7,7,4436954095,4436954095,State University of New York Oswego,J. S. Gardiner,1961-07-22,203,203,1961,7,22,7/22/61,New York,Onondaga,Syracuse,East Colvin Street (Garden),NA,NA,NA,Raphanus sativus L.,sativus
77919,2,8,24,77919,4404923225,RENO,K. Terrell,1960-04-16,107,107,1960,4,16,NA,California,Shasta,NA,Redding.,40.58654,-122.391675,4000.0,Raphanus sativus L.,sativus
5103824047,2,4,0,5103824047,5103824047,WILLI,"Weldy, Troy R",1994-05-07,127,127,1994,5,7,NA,Virginia,Lancaster,NA,"on westside of Rt. 604, 0.2 miles north of jct. Rts. 604 & 616 near Regina.",37.79823,-76.435721,236.0,Raphanus raphanistrum L.,raphanistrum
3897882352,0,4,13,3897882352,3897882352,CHRB,NA,NA,NA,NA,NA,NA,NA,NA,New Jersey,Somerset,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
2234309107,0,5,9,2234309107,2234309107,NCU,"Thomas, R.",1990-06-09,160,160,1990,6,9,NA,Louisiana,Ouachita,NA,"FLORA OF LOUISIANA Parish: Ouachita Median of I-20 between Well Road Exit and Thomas Road Exit in West Monroe; Sec. 34, T18N, R3E. Showing effects of herbicide.",32.51056,-92.17443,1600,Raphanus raphanistrum L.,raphanistrum
5072892614,2,5,10,5072892614,5072892614,K,"Thompson, J.W.",1927-09-09T00:00,252,252,1927,9,9,NA,NA,NA,NA,"Sauvies Island, Ore.",NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
2234331494,4,8,9,2234331494,2234331494,NCU,NA,NA,NA,NA,NA,NA,NA,NA,South Carolina,Cherokee,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
2573522189,1,7,17,2573522189,2573522189,COLO,NA,NA,NA,NA,NA,NA,NA,NA,California,Humboldt,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
5103889546,3,8,25,5103889546,5103889546,WILLI,"Kral, R",1970-04-17,107,107,1970,4,17,NA,Alabama,Geneva,NA,by Pea River 2 mi. w. Samson.,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
5833124723,1,2,1,5833124723,5833124723,UCSC,Unknown,1974-01-14,14,14,1974,1,14,NA,California,San Mateo,NA,Butano State Park.,NA,NA,NA,Raphanus sativus L.,sativus
3357379691,2,6,1,3357379691,3357379691,GMUF,"Ted Bradley, Hassan Kamel",1990-05-21,141,141,1990,5,21,21 May 1990,Virginia,Orange,NA,Near railroad in Barboursville along rte. 678,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
4101886531,2,9,26,4101886531,4101886531,BRIT,NA,NA,NA,NA,NA,NA,NA,NA,California,Butte,NA,NA,NA,NA,NA,Raphanus sativus L.,sativus
3865097237,0,0,2,3865097237,3865097237,PH,J. A. Ruth; H. F. Ruth,1899-06-27,178,178,1899,6,27,NA,Pennsylvania,Armstrong,NA,South Bethlehem,40.99951,-79.340874,1247.0,Raphanus raphanistrum L.,raphanistrum
4872674694,3,25,24,4872674694,4872674694,DEK,T. C. Arambula,1966-02-18,49,49,1966,2,18,18 Feb 1966,California,Orange,Stanton,Field along Monroe St. just east of Beach Blvd. Stanton.,33.805663,-117.992466,50.0,Raphanus raphanistrum subsp. sativus (L.) Domin,raphanistrum
3357383420,0,3,11,3357383420,3357383420,GMUF,"Ted Bradley, Gary Lam",1983-05-24,144,144,1983,5,24,24 May 1983,Virginia,Page,NA,Along railroad at train station in Luray.,NA,NA,NA,Raphanus sativus L.,sativus
4075454233,2,2,20,4075454233,4075454233,DOV,Merritt J. Murray,1932-10-23,297,297,1932,10,23,10/23/32,New York,Suffolk,NA,Cold Spring Harbor,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
2452343409,7,9,8,2452343409,2452343409,US,W. Stickel,1942-05-29,149,149,1942,5,29,NA,Maryland,Prince George's,NA,Patuxent Research Refuge. Prince Georges County. Recently plowed field in plot 5472.,NA,NA,NA,Raphanus sativus L.,sativus
1998961162,7,14,4,1998961162,1998961162,NEBC,Grace Gilbert,1894-06,NA,NA,1894,6,NA,June 94,Massachusetts,Middlesex County,Newton,Newton Upper Falls,42.31191,-71.2197,800,Raphanus raphanistrum L.,raphanistrum
2516955410,4,6,20,2516955410,2516955410,NA,Steward AN,1955-07-04,185,185,1955,7,4,NA,NA,NA,NA,"Plants of Oregon. Gravel bed east of Cottage Grove, Lane County.",NA,NA,NA,Rapistrum raphanistrum (L.) Crantz,raphanistrum
4015893363,1,14,37,4015893363,4015893363,GA,Nicholas C. Kawa,2009-11-16,320,320,2009,11,16,NA,Florida,Alachua,NA,"Gainesville, University of Florida, Natural Area Teaching Laboratory. 500ft. S of Phillips Center",29.614722,-82.337222,4751.0,Raphanus raphanistrum L.,raphanistrum
SML_1999087187,0,7,19,SML_1999087187,1999087187,GH,W. M. Benner,1926-06-19,170,170,1926,6,19,NA,Pennsylvania,Philadelphia County,NA,Along Pennypack Creek. 1 1/2 mi s.s.w. of Bustleton. Philadelphia,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
CDA-0043773,2,3,0,CDA-0043773,3059667876,CDA,G.K. Helmkamp,2004-02-11,42,42,2004,2,11,2/11/2004,California,San Luis Obispo,NA,"Nipomo Mesa, Pomeroy Rd, 0.2 mi N of Willow Rd. Central Coast.",35.05,-120.53,NA,Raphanus raphanistrum L.,raphanistrum
5106241854,4,9,7,5106241854,5106241854,UNCC,"Daggy, Tom",1982-05-11,131,131,1982,5,11,1982-5-11,North Carolina,Alexander,NA,Rocky Face,35.972354,-81.108692,NA,Raphanus raphanistrum subsp. raphanistrum,raphanistrum
2234332332,4,10,22,2234332332,2234332332,NCU,NA,NA,NA,NA,NA,NA,NA,NA,North Carolina,Brunswick,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
