gbifID,stateProvince,county,municipality,locality,verbatimLocality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,reverse_geocode_display_name,match? 
1269671072,Louisiana,Ouachita,,"403 Stevenson Drive, N of Monroe.",,32.58401,-92.06289,50,"443, Stevenson Drive, Treasure Island, Ouachita Parish, Louisiana, 71203, United States",
1269671074,Louisiana,Iberville,,"North of White Castle, Hwy 1.",,30.1718,-91.14625,4000,"31599, Highway 1, White Castle, Iberville Parish, Louisiana, 70788, United States",
1269671076,Louisiana,Richland,,"South of LA 15 on Richland Plantation, 1.5 mi E of Rhymes and LA 133.",,32.37786,-91.92486,1500,"Earle Cutoff, Richland Parish, Louisiana, United States",
1269671078,Louisiana,Tangipahoa,,"Southeastern/SLU campus; Southeastern Louisiana University campus, at entrance to North Campus Recreational Complex along N Oak St., Hammond.",,30.52143,-90.46952,400,"2029, North Oak Street, Whitmar Acres, Hammond, Tangipahoa Parish, Louisiana, 70401, United States",
1269671086,Louisiana,Vermilion,,"Along both sides of LA 13 just E of Parish Rd. 9-35 at Cossinade, ca. 2.5 mi N of jct. LA 13 and LA 14.",,30.03917,-92.31862,200,"7803, North Mahogany Road, Cossinade, Vermilion Parish, Louisiana, 70548, United States",
1269671087,Louisiana,Pointe Coupee,,Near Innis.,,30.8777,-91.68101,4000,"8599, State Route 418, Innis, Pointe Coupee Parish, Louisiana, 70715, United States",
1269671088,Louisiana,Tangipahoa,,"Along LA 16, 1.1 road miles east of junction of LA 16 and LA 445; east of Holton.",,30.74461,-90.34527,300,"23029, LA 16, Holton, Tangipahoa Parish, Louisiana, 70422, United States",
1269671098,Louisiana,Washington,,"Collected along paved road to Hilltop Missionary Baptist Church, 0.8 mi N of LA 436; east of Pine.",,30.92952,-89.91546,500,"28198, Carlos Singley Road, Washington Parish, Louisiana, 70426, United States",
1269676388,Louisiana,East Baton Rouge,,"On the BREC Bluebonnet Swamp Nature Center property, west of Bluebonnet Parkway NW of the intersection with Highland Road. Near boardwalk main entrance trail. Growin in ""meadow"" near east edge.",,30.36806,-91.10708,575,"BREC's Bluebonnet Swamp Nature Center, Lakeside, East Baton Rouge Parish, Louisiana, 70810, United States",
1269678712,Louisiana,Saint Tammany,,"I-12 E to I-55 N, right onto LA 1048 E, left onto 51 S, left onto 10 E, left onto Oilfield Rd., right onto Verberne Rd., across form Walker's mailbox.",,30.83892,-90.39431,1700,"19430, Verberne Road, Tangipahoa Parish, Louisiana, 70444, United States",
1269680097,Louisiana,Terrebonne,,"Southdown Plantation, Houma.",,29.58812,-90.74027,300,"Southdown Plantation, 1208, Museum Drive, Houma, Terrebonne Parish, Louisiana, 70360, United States",
1269680109,Louisiana,East Baton Rouge,,"Farr Park and Horse Activity Center; BREC Horse Activity Center on River Road, Baton Rouge.",,30.38375,-91.21052,1300,"Farr Park Equestrian Center and RV Campground, 6402, River Road, Baton Rouge, East Baton Rouge Parish, Louisiana, 70820, United States",
1269680118,Louisiana,East Baton Rouge,,"Farr Park and Horse Activity Center; BREC Horse Activity Center on River Road, Baton Rouge.",,30.38375,-91.21052,1300,"Farr Park Equestrian Center and RV Campground, 6402, River Road, Baton Rouge, East Baton Rouge Parish, Louisiana, 70820, United States",
1269680439,Louisiana,Grant,,"Natchitoches vicinity, at first exit on I-40 south of this town's exit. Along shoulder of interstate highway only.",,31.66521,-93.10232,420,"State Route 478, Natchitoches, Natchitoches Parish, Louisiana, United States",
1317467273,Maryland,Baltimore,,"Greenspring Ave. and Hillside Rd, Cornfield",,39.41305,-76.68807,200,"1101, Hillside Road, Heatherfields, Stevenson, Towson, Baltimore County, Maryland, 21153, United States",
1457762160,Florida,Levy County,,,"Waccasassa Bay State Preserve; T 15S R 15E S1 & S11; Fiber Factory Road (dirt road, 4 km are state-owned), north of Cow Creek; forested and grazed roadsides, often wet.",29.20642,-82.7454,2850,"Fiber Factory Road, Levy County, Florida, 32639, United States",
1457762699,Florida,Alachua County,,,Cross Creek Rd. 2.5 miles East of US Route 441.,29.48637,-82.16437,700,"14507, South County Road 325, Cross Creek, Alachua County, Florida, 32640, United States",
1457766275,Florida,Alachua County,,,Gainesville. University of Florida Campus. Natural Area Teaching Lab.,29.63251,-82.36849,400,"Natural Area Teaching Laboratory, 2024, Natural Area Drive, Daysville, Gainesville, Alachua County, Florida, 32611, United States",
1457769526,Florida,Columbia County,,,"Flora of O'leno State Park, Florida. Grassy area west of ranger station.",29.9015,-82.57959,2700,"1659, Southeast Old Bellamy Road, High Springs, Columbia County, Florida, 32643, United States",
1457779450,Florida,Alachua County,,,Gainesville: Natural Area Teaching Lab on University of Florida campus.,29.63251,-82.36849,400,"Natural Area Teaching Laboratory, 2024, Natural Area Drive, Daysville, Gainesville, Alachua County, Florida, 32611, United States",
1457786443,Florida,Suwannee County,,,Live Oak: 14019 State Road 51.,30.19497,-83.11509,50,"14019, Irvin Avenue, Luraville, Suwannee County, Florida, 32060, United States",
1457802973,Florida,Alachua County,,,University of Florida Natural Teaching Area.,29.63251,-82.36849,400,"Natural Area Teaching Laboratory, 2024, Natural Area Drive, Daysville, Gainesville, Alachua County, Florida, 32611, United States",
1457821324,Florida,Alachua County,,,"Gainesville, University of Florida campus; 80 m west of the Microbiology & Cell Science bldg next to the east fence of the recreation field.",29.64054,-82.36433,55,"Microbiology/Cell Science Building, Museum Drive, Gainesville, Alachua County, Florida, 32612, United States",
1503182300,Florida,Pasco Co.,,1 mi. E of the junction with US 41 on the S shoulder of FL 54.,1 mi. E of the junction with US 41 on the S shoulder of FL 54.,28.18575,-82.45087,100,"State Road 54, Pasco County, Florida, 34639, United States",
1503201030,Alabama,Baldwin Co.,,"In Lilian; at the W edge of town along S side of US 98 where it merges with main road in NE��; T7S, R6E, Sec. 27.","In Lilian; at the W edge of town along S side of US 98 where it merges with main road in NE��; T7S, R6E, Sec. 27.",30.4141,-87.44924,100,"Dollar General, 33880, US 98, Lillian, Baldwin County, Alabama, 36549, United States",
1503213258,Louisiana,Bossier Par.,,"I-220 at Airline Drive (Bossier 3105) N of Bossier City; T18N, R13W, Sec. 11.","I-220 at Airline Drive (Bossier 3105) N of Bossier City; T18N, R13W, Sec. 11.",32.55739,-93.70992,500,"Joseph D. Waggonner Jr. Memorial Highway, Bossier City, Bossier Parish, Louisiana, 71111, United States",
1503221582,Georgia,Dooly Co.,,SE corner of Exit 73 of I-75; 3 mi. NE of Vienna.,SE corner of Exit 73 of I-75; 3 mi. NE of Vienna.,32.19186,-83.74767,200,"I 75, Dooly County, Georgia, 31070, United States",
1503221969,Louisiana,Richland Par.,,"Richland Plantation S of LA 15 and 2 mi. W of Rhymes; T16N, R3E, Sec. 11.","Richland Plantation S of LA 15 and 2 mi. W of Rhymes; T16N, R3E, Sec. 11.",32.37786,-91.92486,1500,"Earle Cutoff, Richland Parish, Louisiana, United States",
1503231126,Louisiana,Vermilion Par.,,"Along both sides of LA 13 just E of Parish Road 9-35 at Cossinade ca. 2.5 mi. N of junction LA 13 and LA 14; T11S, R1E, Sec. 36.","Along both sides of LA 13 just E of Parish Road 9-35 at Cossinade ca. 2.5 mi. N of junction LA 13 and LA 14; T11S, R1E, Sec. 36.",30.03917,-92.31862,200,"7803, North Mahogany Road, Cossinade, Vermilion Parish, Louisiana, 70548, United States",
1503231131,Louisiana,Vermilion Par.,,"Along both sides of LA 13 just E of Parish Road 9-35 at Cossinade ca. 2.5 mi. N of junction LA 13 and LA 14; T11S, R1E, Sec. 36.","Along both sides of LA 13 just E of Parish Road 9-35 at Cossinade ca. 2.5 mi. N of junction LA 13 and LA 14; T11S, R1E, Sec. 36.",30.03917,-92.31862,200,"7803, North Mahogany Road, Cossinade, Vermilion Parish, Louisiana, 70548, United States",
1503231145,Louisiana,Vermilion Par.,,"Along both sides of LA 13 just E of Parish Road 9-35 at Cossinade ca. 2.5 mi. N of junction LA 13 and LA 14; T11S, R1E, Sec. 36.","Along both sides of LA 13 just E of Parish Road 9-35 at Cossinade ca. 2.5 mi. N of junction LA 13 and LA 14; T11S, R1E, Sec. 36.",30.03917,-92.31862,200,"7803, North Mahogany Road, Cossinade, Vermilion Parish, Louisiana, 70548, United States",
1503231170,Louisiana,Vermilion Par.,,"Along both sides of LA 13 just E of Parish Road 9-35 at Cossinade ca. 2.5 mi. N of junction LA 13 and LA 14; T11S, R1E, Sec. 36.","Along both sides of LA 13 just E of Parish Road 9-35 at Cossinade ca. 2.5 mi. N of junction LA 13 and LA 14; T11S, R1E, Sec. 36.",30.03917,-92.31862,200,"7803, North Mahogany Road, Cossinade, Vermilion Parish, Louisiana, 70548, United States",
1503232675,Georgia,Bulloch Co.,,W side GA 67; margin of Black Creek; 1.5 mi. NW of C-317; SE of Statesboro; 5.8 mi. SE of Lotts Creek crossing.,W side GA 67; margin of Black Creek; 1.5 mi. NW of C-317; SE of Statesboro; 5.8 mi. SE of Lotts Creek crossing.,32.17809,-81.46327,2800,"US 280;GA 30, Bryan County, Georgia, 31308, United States",
1503265260,Florida,Hernando Co.,Weeki Wachee Springs State Park,"Weeki Wachee Springs State Park, Main parcel, in boundary road along E fence with US 19.  T23S, R17E, Sec. 2, SW��.","Main parcel, in boundary road along E fence with US 19.  T23S, R17E, Sec. 2, SW��.",28.51692,-82.57286,300,"6199, Commercial Way, Weeki Wachee, Hernando County, Florida, 34606, United States",
1503275825,Alabama,Houston Co.,,County fairgrounds along US 231; S edge of Dothan.,County fairgrounds along US 231; S edge of Dothan.,31.14289,-85.40585,500,"Dothan, Houston County, Alabama, 36301, United States",
1503278698,Louisiana,Ouachita Par.,,On Louisiana State University Experiment Station Farm W of I-20 and US 80 interchange at Calhoun.,On Louisiana State University Experiment Station Farm W of I-20 and US 80 interchange at Calhoun.,32.51441,-92.34603,1800,"Research Lane, Calhoun, Ouachita Parish, Louisiana, 71225, United States",
1503285031,Georgia,Lowndes Co.,,WSW of Valdosta.,WSW of Valdosta.,30.78845,-83.35866,4000,"Rocky Ford Road, Westwood Estates, Lowndes County, Georgia, 31601, United States",
1503312295,Florida,Pasco Co.,,US 41 near its intersection with FL 54.,US 41 near its intersection with FL 54.,28.19175,-82.46579,150,"Land O' Lakes Boulevard, Pasco County, Florida, 34639, United States",
1503312320,Florida,Pasco Co.,,US 41 near its intersection with FL 54.,US 41 near its intersection with FL 54.,28.19175,-82.46579,150,"Land O' Lakes Boulevard, Pasco County, Florida, 34639, United States",
1807240548,Maine,Waldo,,"Hills Corner, Lincolnville",,44.32218,-69.07054,2000,"Belfast Road, Heals Corner, Lincolnville, Waldo County, Maine, United States",
1807240943,Maine,Knox,,"near North Hope Corner, Hope",,44.2903,-69.1904,4000,"Camden Road, North Hope Corner, Hope, Knox County, Maine, 04847, United States",
1851677291,Florida,Alachua,,"University of Florida,, Gainesville","USA | Florida | Alachua | University of Florida,, Gainesville",29.64024,-82.35391,1800,"University of Florida, Southwest 12th Avenue, Gainesville, Alachua County, Florida, 32611, United States",
1929201827,Connecticut,New London Co.,,"Latimer's Point, between Mystic and Stonington, on Fisher's Island Sound",,41.33543,-71.95098,375,"2, Center Drive, Mystic, Stonington, Southeastern Connecticut Planning Region, Connecticut, 06378, United States",
1930870051,Florida,Glades Co.,,"Open places, western shore of Lake Okeechobee, Fisheating Creek to Three-Mile Canal [map]",,26.96938,-81.09642,2000,"Glades County, Florida, United States",
1936437065,Massachusetts,,,"Massachusetts, Franklin County. Town: Deerfield. An old tobacco field bordering Sand Gully and Stillwater Bridge rd.",,42.51802,-72.63718,450,"Sand Gully Road Branch, Deerfield, Franklin County, Massachusetts, 01342, United States",
1978078169,Alabama,Tuscaloosa,,Along I-20 and I-59 one mile north of Fosters Exit and just south of the Black Warrior River south of Tuscaloosa.,,33.11418,-87.65281,400,"Fosters Loop Road, Tuscaloosa County, Alabama, 35463, United States",
1986922321,Maryland,Montgomery,,Persimmon Tree Road; Potomac  1/2 mile southeast of Potomac Village.,,39.01095,-77.20196,250,"9400, Persimmon Tree Road, Williamsburg Estates, Potomac, Montgomery County, Maryland, 20854, United States",
1989996174,Alabama,Tuscaloosa,,,,33.21125,-87.56797,10500,"Tanning Oasis, 4th Street, Audubon Place, Pinehurst, Tuscaloosa, Tuscaloosa County, Alabama, 35401, United States",
1989996179,Alabama,Mobile,,,,30.68894,-88.03804,15000,"George C. Wallace Tunnel, Downtown, Austal USA, Mobile County Commission District 3, Mobile, Mobile County, Alabama, 36602, United States",
1998330101,Maine,York County,Old Orchard Beach,Old Orchard Beach,Old Orchard Beach,43.52113,-70.38483,3400,"21, Birch Lane, York County, Maine, 04064, United States",
1998335831,Alabama,Escambia County,,2.7 miles north of Brewton.,2.7 miles north of Brewton.,31.169,-87.07625,800,"Township Lane, Escambia County, Alabama, 36426, United States",
1998390878,Alabama,Escambia County,,"near I-10, ca. 10 mi. e. Loxley.","near I-10, ca. 10 mi. e. Loxley.",30.58453,-87.48976,1000,"Pearl Harbor Memorial Highway, Baldwin County, Alabama, United States",
1998401924,Maine,,,South Harpswell,South Harpswell,43.74164,929.98578,1000,,
1998412950,Alabama,Mobile County,,"[Narvaez] St., 2 blocks N. of Bienville Blvd.","[Narvaez] St., 2 blocks N. of Bienville Blvd.",30.25525,-88.11949,120,"1299, Cadillac Avenue, Mobile County Commission District 3, Dauphin Island, Mobile County, Alabama, 36528, United States",
1998434351,Connecticut,New Haven County,New Haven,[no additional data],[no additional data],41.17915,-73.19604,4000,"Kolbe Cathedral High School, 33, Calhoun Place, Bridgeport, Greater Bridgeport Planning Region, Connecticut, 06604, United States",
1998477644,Massachusetts,Suffolk County,Boston,"The Arnold Arboretum, Malus group, near Peters Hill [Jamaica Plain]","The Arnold Arboretum, Malus group, near Peters Hill [Jamaica Plain]",42.29615,-71.12632,350,"59, Flora Way, Jamaica Plain, Boston, Suffolk County, Massachusetts, 02130, United States",
1998544299,Maine,York County,Old Orchard Beach,Old Orchard Beach,Old Orchard Beach,43.52113,-70.38483,3400,"21, Birch Lane, York County, Maine, 04064, United States",
1998693494,Maine,,,Monhegan Island,Monhegan Island,43.76521,-69.31238,1300,"Red Ribbon Trail (#9), Monhegan Plantation, Lincoln County, Maine, 04852, United States",
1998739173,Maine,Lincoln County,Southport,Southport,Southport,43.81772,-69.66584,3650,"Southport Island Treasures, 608, Hendricks Hill Road, West Southport, Southport, Lincoln County, Maine, 04576, United States",
1998806939,Massachusetts,Barnstable County,Truro,Truro,Truro,42.2994,-71.12395,1000,"Oak Path, Jamaica Plain, Boston, Suffolk County, Massachusetts, 02131, United States",
1998834987,Massachusetts,Suffolk County,Boston,"The Arnold Arboretum, Conifer group [Jamaica Plain]","The Arnold Arboretum, Conifer group [Jamaica Plain]",42.2994,-71.12395,1000,"Oak Path, Jamaica Plain, Boston, Suffolk County, Massachusetts, 02131, United States",
1998838468,Maine,York County,Ogunquit,Ogunquit,Ogunquit,43.25084,-70.60324,4000,"60, Black Boar Drive, Ogunquit, York County, Maine, 03907, United States",
1998882151,Maine,Washington County,Eastport,Eastport,Eastport,44.92126,-67.01185,3550,"Eastport, Washington County, Maine, 04631, United States",
1999128077,Alabama,Tuscaloosa County,,In old field on S. E. rim of Bryces in Tuscaloosa,In old field on S. E. rim of Bryces in Tuscaloosa,30.25525,-88.11949,1500,"1299, Cadillac Avenue, Mobile County Commission District 3, Dauphin Island, Mobile County, Alabama, 36528, United States",
1999136716,Maine,,,Monhegan Island,Monhegan Island,43.76521,-69.31238,1300,"Red Ribbon Trail (#9), Monhegan Plantation, Lincoln County, Maine, 04852, United States",
1999262411,Maine,York County,Old Orchard Beach,Old Orchard Beach,Old Orchard Beach,43.52113,-70.38483,3400,"21, Birch Lane, York County, Maine, 04064, United States",
1999288224,Maine,York County,Old Orchard Beach,Old Orchard Beach,Old Orchard Beach,43.52113,-70.38483,3400,"21, Birch Lane, York County, Maine, 04064, United States",
2234308373,Louisiana,Bossier,,"FLORA OF LOUISIANA Parish: Bossier Roadbank of I-220 at Airline Drive (Bossier 3105) north of Bossier City, Sec. 11, T18N, R13W.",,32.55739,-93.70992,500,"Joseph D. Waggonner Jr. Memorial Highway, Bossier City, Bossier Parish, Louisiana, 71111, United States",
2234309107,Louisiana,Ouachita,,"FLORA OF LOUISIANA Parish: Ouachita Median of I-20 between Well Road Exit and Thomas Road Exit in West Monroe; Sec. 34, T18N, R3E. Showing effects of herbicide.",,32.51056,-92.17443,1600,"598, Constitution Drive, West Monroe, Ouachita Parish, Louisiana, 71292, United States",
2234309165,Louisiana,Richland,,"FLORA OF LOUISIANA Parish: Richland Along south side of I-20E east of Start Exit west of Rayville; Sec. 10, T17N, R6E.",,32.45733,-91.76188,300,"I 20, Rayville, Richland Parish, Louisiana, 71269, United States",
2234330991,Alabama,Mobile,,,,30.68894,-88.03804,15000,"George C. Wallace Tunnel, Downtown, Austal USA, Mobile County Commission District 3, Mobile, Mobile County, Alabama, 36602, United States",
2234331294,Alabama,Mobile,,,,30.68894,-88.03804,15000,"George C. Wallace Tunnel, Downtown, Austal USA, Mobile County Commission District 3, Mobile, Mobile County, Alabama, 36602, United States",
2234332444,Alabama,Lee,,,,30.25525,-88.11949,30000,"1299, Cadillac Avenue, Mobile County Commission District 3, Dauphin Island, Mobile County, Alabama, 36528, United States",
2234332539,Alabama,Baldwin,,,,30.76381,-87.71111,56000,"Pen Point Road, Baldwin County, Alabama, United States",
2234333243,Alabama,Lee,,,,30.25525,-88.11949,30000,"1299, Cadillac Avenue, Mobile County Commission District 3, Dauphin Island, Mobile County, Alabama, 36528, United States",
2452243672,Connecticut,,,"The Vicinity of Green's Farms, Conn.",,41.12696,-73.31896,2350,"39, Clapboard Hill Road, Greens Farms, Westport, Western Connecticut Planning Region, Connecticut, 06880, United States",
2512754491,Louisiana,,,Ludoviciana. On ballast ground. Port Eads.,,29.01519,-89.16681,1500,"South Pass Light, Port Eads, Plaquemines Parish, Louisiana, United States",
2512761027,Maine,,,Station: Cumberland.,,39.65053,-78.75794,40,"Cumberland, 201, East Harrison Street, Rolling Mills, Cumberland, Allegany County, Maryland, 21502, United States",
2512815201,Massachusetts,,,"New- planted field, Canton Junction.",,42.16217,-71.15948,1000,"480, Neponset Street, Canton Junction, Canton, Norfolk County, Massachusetts, 02021, United States",
2512865335,Connecticut,,,The Vicinity of Green's Farms.,,41.12696,-73.31896,2350,"39, Clapboard Hill Road, Greens Farms, Westport, Western Connecticut Planning Region, Connecticut, 06880, United States",
2515123578,Louisiana,,,"Roadbank of I-220 at Airline Drive (Bossier 3105) north of Bossier City, Sec. 11, T18N, R13W.",,32.55739,-93.70992,500,"Joseph D. Waggonner Jr. Memorial Highway, Bossier City, Bossier Parish, Louisiana, 71111, United States",
2573522772,Alabama,Mobile,,,,30.68894,-88.03804,15000,"George C. Wallace Tunnel, Downtown, Austal USA, Mobile County Commission District 3, Mobile, Mobile County, Alabama, 36602, United States",
2859090389,Louisiana,Tensas,,"Buckhorn Hunting Club, near Saranac Oil & Gas Field",,32.015,-91.36488,500,"State Route 573, Ashland, Tensas Parish, Louisiana, United States",
2859110749,Louisiana,Ouachita,,in median of I-20 just W of Thomas Road Exit in West Monroe,,32.50862,-92.16164,500,"I 20, West Monroe, Ouachita Parish, Louisiana, 71291, United States",
2859345286,Florida,Marion,,"near Anthony, along W side of old hwy 301",,29.28842,-82.11164,4000,"9499, Northeast Jacksonville Road, Jumbolair Aviation Estates, Sparr, Citra, Marion County, Florida, 32617, United States",
2859349265,Louisiana,Tensas,,"Buckhorn Hunting Club, near Saranac Oil & Gas Field",,32.015,-91.36488,500,"State Route 573, Ashland, Tensas Parish, Louisiana, United States",
2890664990,Louisiana,Washington,,North of Franklinton.,,30.86994,-90.15439,1000,"23968, Highway 430, Washington Parish, Louisiana, 70438, United States",
3125116381,Florida,Alachua,,"Behind greenhouse, University of Florida campus, Gainesville.",,29.63975,-82.34903,1000,"UF Clinical & Translational Research Building, 2004, Mowry Road, Gainesville, Alachua County, Florida, 32610, United States",
3307865220,Louisiana,OUACHITA,,Median of I-20 between Well Road Exit and Thomas Road Exit in West Monroe,,32.51056,-92.17443,1600,"598, Constitution Drive, West Monroe, Ouachita Parish, Louisiana, 71292, United States",
3307916928,Louisiana,BOSSIER,,Roadbank of I-220 at Airline Drive (Bossier 3105) north of Bossier City,,32.55739,-93.70992,500,"Joseph D. Waggonner Jr. Memorial Highway, Bossier City, Bossier Parish, Louisiana, 71111, United States",
3695177067,Alabama,Birmingham,,"Birmingham, E of metropolitan area. ""The Rise"" stables.",,30.76381,-87.71111,6000,"Pen Point Road, Baldwin County, Alabama, United States",
3709848955,Alabama,Geneva County,,"Geneva County, AL",,31.0451,-85.87446,2500,"North Morris Street, Geneva, Geneva County, Alabama, 36340, United States",
3709849798,Alabama,Mobile County,,"Mobile County, AL",,30.68894,-88.03804,15000,"George C. Wallace Tunnel, Downtown, Austal USA, Mobile County Commission District 3, Mobile, Mobile County, Alabama, 36602, United States",
3709852018,Alabama,Lee County,,"Lee County, AL",,30.25525,-88.11949,30000,"1299, Cadillac Avenue, Mobile County Commission District 3, Dauphin Island, Mobile County, Alabama, 36528, United States",
3709852246,Alabama,Geneva County,,"Geneva County, AL",,31.0451,-85.87446,2500,"North Morris Street, Geneva, Geneva County, Alabama, 36340, United States",
3709855196,Alabama,Escambia County,,"Escambia County, AL",,31.0451,-85.87446,48500,"North Morris Street, Geneva, Geneva County, Alabama, 36340, United States",
3709996871,Alabama,Baldwin County,,"Baldwin County, AL",,30.76381,-87.71111,56000,"Pen Point Road, Baldwin County, Alabama, United States",
3710063875,Alabama,Lee County,,"Lee County, AL",,30.25525,-88.11949,30000,"1299, Cadillac Avenue, Mobile County Commission District 3, Dauphin Island, Mobile County, Alabama, 36528, United States",
3744690045,Louisiana,Bossier,,I-220 at Airline Drive ( Bossier 3105) north of Bossier City T18N R13W S11,,32.55739,-93.70992,500,"Joseph D. Waggonner Jr. Memorial Highway, Bossier City, Bossier Parish, Louisiana, 71111, United States",
3744713750,Alabama,Barbour,,"Eufaula, Al.",,31.90877,-85.15387,15900,"West Chewalla Creek Drive, Hoboken, Eufaula, Barbour County, Alabama, 36027, United States",
3766309166,Louisiana,Bossier,,ROADBANK OF I-220 AT AIRLINE DRIVE (BOSSIER 3105) NORTH OF BOSSIER CITY.,,32.55739,-93.70992,500,"Joseph D. Waggonner Jr. Memorial Highway, Bossier City, Bossier Parish, Louisiana, 71111, United States",
3766309170,Louisiana,Richland,,ON RICHLAND PLANTATION SOUTH OF LA. 15 AND TWO MILES WEST OF RHYMES.,,32.37786,-91.92486,1500,"Earle Cutoff, Richland Parish, Louisiana, United States",
3766309223,Georgia,Lowndes,,WEED IN PECAN ORCHARD WSW OF VALDOSTA.,,30.78845,-83.35866,4000,"Rocky Ford Road, Westwood Estates, Lowndes County, Georgia, 31601, United States",
3766309230,Florida,Jackson,,INTERSECTION OF INTERSTATE HWY. 10 AND FLORIDA HWY. 69.ON THE NORTH SIDE OF THE INTERSTATE AND ON THE EAST SIDE OF FLORI,,30.65701,-85.03763,400,"I 10, Jackson County, Florida, United States",
3766309255,Massachusetts,Hampshire,,"DAYMON ROAD NEAR RAILROAD, NORTHAMPTON",,42.338,-72.63613,70,"19, Damon Road, Northampton, Hampshire County, Massachusetts, 01060, United States",
3865363253,Maryland,Talbot,,1.5 mi SSW of Unionville,,38.79313,-76.1492,900,"Miles River Road, Anchorage, Talbot County, Maryland, 21653, United States",
3865364298,Delaware,New Castle,,Elsmere,,39.73823,-75.59472,1200,"Robert Kirkwood Highway, Lancaster Village, Elsmere, New Castle County, Delaware, 19805, United States",
3865377302,Delaware,New Castle,,Elsmere,,39.73823,-75.59472,1200,"Robert Kirkwood Highway, Lancaster Village, Elsmere, New Castle County, Delaware, 19805, United States",
3865378423,Delaware,New Castle,,Beaver Valley,,39.83905,-75.5596,1600,"15, Beaver Valley Road, Johnsons Corner, Concord Township, Delaware County, Pennsylvania, 19317, United States",
3865380399,Maryland,Cecil,,1 mi E of Appleton,,39.69941,-75.79133,700,"Rhett Lane, Tara, Cecil County, Maryland, 21921, United States",
3915845386,Connecticut,Windham County,Hampton,Corner of Station Rd and Utley Rd,Corner of Station Rd and Utley Rd,41.35707,-72.5655,100,"Clinton Road, Killingworth, Lower Connecticut River Valley Planning Region, Connecticut, 06419, United States",
3925803525,Massachusetts,Hampshire,,"Daymon Rd nr RR, Northampton.",,42.338,-72.63613,70,"19, Damon Road, Northampton, Hampshire County, Massachusetts, 01060, United States",
3987565636,Connecticut,New London,,"Latimer Point, between Mystic and Stonington",,41.33543,-71.95098,375,"2, Center Drive, Mystic, Stonington, Southeastern Connecticut Planning Region, Connecticut, 06378, United States",
4010710685,Massachusetts,Hampshire,,"Northampton, Daymon Road near railroad.",,42.338,-72.63613,70,"19, Damon Road, Northampton, Hampshire County, Massachusetts, 01060, United States",
4069038162,Massachusetts,Hampden,,Wilbraham; jeep road running south from junction of Monson Rd. and Ridge Rd.; south of Wigwam Hill.,,42.10932,-72.41191,450,"12, Peak Road, Wilbraham, Hampden County, Massachusetts, 01095, United States",
4075454236,Maryland,Montgomery,,"Silver Spring, Xaverian College grounds",,39.12518,-77.02787,3000,"16488, Layhill Road, Norwood Village, Norwood, Montgomery County, Maryland, 20906, United States",
4075454242,Delaware,New Castle,,Newark,,39.68192,-75.75135,2250,"East Delaware Avenue, Newark, New Castle County, Delaware, 19711, United States",
4075454244,Delaware,New Castle,,Newark,,39.68192,-75.75135,2250,"East Delaware Avenue, Newark, New Castle County, Delaware, 19711, United States",
4075454248,Delaware,New Castle,,Milltown,,39.73079,-75.66604,1000,"1398, Milltown Road, Milltown, New Castle County, Delaware, 19808, United States",
